"","open","high","low","close","volume","value"
"2021-12-23 09:00:00","59759000","61925000","59120000","61490000","6471.52989474","389081707456.72"
"2021-12-24 09:00:00","61490000","62850000","61250000","61939000","5243.5431503","325690062280.69"
"2021-12-25 09:00:00","61939000","62500000","61107000","61177000","3730.36798441","230679684124.7"
"2021-12-26 09:00:00","61177000","61939000","60288000","61467000","4350.54366915","265030001351.94"
"2021-12-27 09:00:00","61467000","62500000","60934000","61508000","5287.22519425","325512198487.45"
"2021-12-28 09:00:00","61470000","61508000","57912000","58274000","7303.08727699","436619790606.59"
"2021-12-29 09:00:00","58261000","58763000","56650000","57089000","8037.99954485","465098505559.7"
"2021-12-30 09:00:00","57089000","58233000","56400000","57200000","5506.78981263","315378745535.86"
"2021-12-31 09:00:00","57233000","58812000","56233000","56784000","4959.9700856","285728205436.08"
"2022-01-01 09:00:00","56784000","58271000","56762000","57915000","2628.14596492","151064521830.33"
"2022-01-02 09:00:00","57915000","58300000","57100000","57531000","3567.5057124","205291308789.94"
"2022-01-03 09:00:00","57540000","57749000","56133000","56641000","6304.95856401","360063461140.01"
"2022-01-04 09:00:00","56640000","57685000","56000000","56023000","6053.44580235","342512644132.84"
"2022-01-05 09:00:00","56023000","57100000","52701000","53854000","9296.79871351","515276777193.21"
"2022-01-06 09:00:00","53854000","54300000","52388000","53239000","6389.07930239","339630997052.07"
"2022-01-07 09:00:00","53240000","53358000","50900000","51449000","7509.10809323","389528045895.49"
"2022-01-08 09:00:00","51449000","52709000","50829000","52142000","4171.09645762","215423691964.91"
"2022-01-09 09:00:00","52142000","52600000","51144000","51678000","3369.09508974","174869889802.57"
"2022-01-10 09:00:00","51672000","51999000","48897000","51246000","7955.46011133","402570820215.66"
"2022-01-11 09:00:00","51255000","52493000","50408000","52307000","5812.21805175","298676109322.26"
"2022-01-12 09:00:00","52306000","53945000","51800000","53349000","5617.86642827","296492711681.88"
"2022-01-13 09:00:00","53349000","53940000","51809000","51885000","5468.01591063","289837178996.58"
"2022-01-14 09:00:00","51885000","52691000","51010000","52230000","5030.18653553","261086090962.35"
"2022-01-15 09:00:00","52230000","52891000","51878000","52357000","2595.04941124","135657742666.71"
"2022-01-16 09:00:00","52357000","52634000","51948000","52165000","2131.4288192","111417440453.13"
"2022-01-17 09:00:00","52165000","52300000","50822000","51436000","3104.23763117","160683769882.98"
"2022-01-18 09:00:00","51435000","51600000","50192000","51179000","3894.69755153","197997204276.52"
"2022-01-19 09:00:00","51183000","51395000","49988000","50333000","4815.61754533","243349644791.63"
"2022-01-20 09:00:00","50333000","52361000","49575000","49648000","6914.68087553","350489190147.25"
"2022-01-21 09:00:00","49600000","50001000","44600000","45316000","13031.22269492","614895368490.7"
"2022-01-22 09:00:00","45316000","45622000","42629000","43375000","12317.48527338","542096966238.2"
"2022-01-23 09:00:00","43376000","44500000","42725000","44253000","6165.20872887","269289810382.93"
"2022-01-24 09:00:00","44255000","45600000","40871000","44731000","10984.73257578","468862727172.82"
"2022-01-25 09:00:00","44764000","45572000","43511000","44909000","6937.03740715","308479518001.64"
"2022-01-26 09:00:00","44905000","47460000","44520000","45100000","10144.39442742","465503093047.91"
"2022-01-27 09:00:00","45100000","45844000","43786000","45809000","7488.1448014","335012964798.78"
"2022-01-28 09:00:00","45800000","46890000","45060000","46588000","5565.15427472","254762670308.81"
"2022-01-29 09:00:00","46592000","47746000","46180000","47146000","3980.16776223","186286304051.23"
"2022-01-30 09:00:00","47144000","47500000","46498000","47208000","2868.98523419","135027081461.63"
"2022-01-31 09:00:00","47208000","47647000","45624000","47266000","4554.26520595","211275432696.93"
"2022-02-01 09:00:00","47304000","48270000","46869000","47760000","3944.00160976","187434977994.14"
"2022-02-02 09:00:00","47784000","47900000","45401000","45517000","4684.82046753","219281053640.67"
"2022-02-03 09:00:00","45518000","45900000","44770000","45835000","3279.73787459","148839125406.12"
"2022-02-04 09:00:00","45835000","50843000","45500000","50633000","7451.46465055","355674962643.44"
"2022-02-05 09:00:00","50613000","51488000","50216000","50788000","5618.42220443","285441834169.82"
"2022-02-06 09:00:00","50788000","52022000","50400000","51732000","4046.19621542","206661446937.43"
"2022-02-07 09:00:00","51678000","54110000","51084000","53511000","6414.99045765","337553682455.39"
"2022-02-08 09:00:00","53511000","55321000","52325000","53651000","10799.76838891","578845327237.11"
"2022-02-09 09:00:00","53651000","53921000","52560000","53377000","3463.72106522","184103243331.59"
